Facility ,County,Total licensed beds,Cases*,Deaths**
CARLYLE HOUSE,MIDDLESEX,55,> 30,9
CARVALHO GROVE HEALTH AND REHABILITATION CENTER,BRISTOL,112,> 30,11
CASA DE RAMANA REHABILITATION CENTER,MIDDLESEX,124,> 30,7
CATHOLIC MEMORIAL HOME,BRISTOL,300,1-10,0
CEDAR VIEW REHABILITATION AND HEALTHCARE CENTER,ESSEX,106,> 30,25
CEDARWOOD GARDENS,NORFOLK,82,1-10,1-4
CENTER FOR EXTENDED CARE AT AMHERST,HAMPSHIRE,134,> 30,24
CHAPIN CENTER,HAMPDEN,160,> 30,23
CHARLENE MANOR EXTENDED CARE FACILITY,FRANKLIN,123,11-30,10
CHARLTON MANOR REST HOME,WORCESTER,32,0,0
CHESTNUT HILL OF EAST LONGMEADOW,HAMPDEN,135,0,0
CHESTNUT WOODS REHABILITATION AND HEALTHCARE CTR,ESSEX,88,> 30,19
CHETWYNDE HEALTHCARE,MIDDLESEX,75,> 30,17
CHICOPEE REHABILITATION AND NURSING CENTER,HAMPDEN,68,1-10,0
CHILTON HOUSE REST HOME (THE),PLYMOUTH,36,0,0
CHRISTOPHER HOUSE OF WORCESTER,WORCESTER,156,> 30,16
CLIFTON REHABILITATION NURSING CENTER,BRISTOL,142,1-10,0
COLEMAN HOUSE,WORCESTER,45,> 30,17
COLONY CENTER FOR HEALTH & REHABILITATION,PLYMOUTH,92,> 30,15
COMMONS RESIDENCE AT ORCHARD COVE,NORFOLK,45,> 30,12
CONTINUING CARE AT BROOKSBY VILLAGE,ESSEX,88,1-10,0
COPLEY AT STOUGHTON - BAYSTATE CONSOLIDATED PROPER,NORFOLK,123,> 30,15
COUNTRY CENTER FOR HEALTH & REHABILITATION,ESSEX,111,1-10,0
COUNTRY GARDENS HEALTH AND REHABILITATION CENTER,BRISTOL,86,1-10,1-4
COUNTRYSIDE HEALTH CARE OF MILFORD,WORCESTER,109,> 30,9
COURTYARD NURSING CARE CENTER,MIDDLESEX,224,> 30,70
CRANEVILLE PLACE REHABILITATION & SKILLED  CARE CT,BERKSHIRE,89,1-10,0
CRESCENT MANOR REST HOME INC,WORCESTER,58,1-10,0
CUSHING MANOR COMM SUPPORT FACILITY,SUFFOLK,36,0,0
DAGGETT-CRANDALL NEWCOMB HOME,BRISTOL,30,0,0
DALTON REST HOME,WORCESTER,34,0,0
DARTMOUTH MANOR REST HOME,BRISTOL,25,0,0
DAVENPORT MEMORIAL HOME,MIDDLESEX,18,0,0
DAY BROOK VILLAGE SENIOR LIVING,HAMPDEN,92,> 30,26
DEDHAM HEALTHCARE,NORFOLK,145,> 30,18
DEN-MAR HEALTH AND REHABILITATION CENTER,ESSEX,76,> 30,13
DEXTER HOUSE HEALTHCARE,MIDDLESEX,130,> 30,20
DODGE PARK REST HOME INC.,WORCESTER,60,11-30,1-4
DONNA KAY REST HOME,WORCESTER,60,1-10,0
DOOLITTLE HOME THE,NORFOLK,32,0,0
DWYER HOME,NORFOLK,50,1-10,1-4
D'YOUVILLE CENTER FOR ADVANCE THERAPY,MIDDLESEX,33,1-10,1-4
D'YOUVILLE SENIOR CARE,MIDDLESEX,208,> 30,12
EAST LONGMEADOW SKILLED NURSING CENTER,HAMPDEN,119,> 30,24
EASTPOINTE REHAB CENTER,SUFFOLK,195,> 30,64
ELAINE CENTER AT HADLEY,HAMPSHIRE,154,11-30,8
ELIOT CENTER FOR HEALTH & REHABILITATION,MIDDLESEX,114,> 30,9
ELIZABETH CATHERINE REST HOME,NORFOLK,26,0,0
ELIZABETH SETON,NORFOLK,84,> 30,17
ELLEN RICE REST HOME INC.,HAMPDEN,12,0,0
ELLIS NURSING HOME (THE),NORFOLK,191,> 30,25
ELMHURST HEALTHCARE (THE),MIDDLESEX,45,11-30,1-4
EMERSON REHABILITATION & TRANSITIONAL CARE UNIT,MIDDLESEX,20,0,0
FAIRHAVEN HEALTHCARE CENTER,MIDDLESEX,169,> 30,25
FAIRMOUNT REST HOME INC.,SUFFOLK,32,11-30,0
FAIRVIEW COMMONS NURSING & REHABILITATION CENTER,BERKSHIRE,146,1-10,1-4
FALL RIVER HEALTHCARE,BRISTOL,176,> 30,13
FALL RIVER JEWISH HOME INC,BRISTOL,62,1-10,0
FARREN CARE CENTER,FRANKLIN,122,0,0
FITCH HOME INC. (THE),MIDDLESEX,26,11-30,0
FITCHBURG HEALTHCARE,WORCESTER,160,> 30,23
FITCHBURG REHABILITATION AND NURSING CENTER,WORCESTER,36,1-10,0
FULLER HOUSE OF STONEHAM REST HOME,MIDDLESEX,13,0,0
GARDEN PLACE HEALTHCARE,BRISTOL,133,> 30,14
GARDNER REHABILITATION AND NURSING CENTER,WORCESTER,124,1-10,0
GERMAN CENTER FOR EXTENDED CARE,SUFFOLK,133,> 30,20
GERMAN HOME THE,ESSEX,31,0,0
GLEN RIDGE NURSING CARE CENTER,MIDDLESEX,164,> 30,26
GLOUCESTER HEALTHCARE,ESSEX,101,> 30,16
GOVERNORS CENTER,HAMPDEN,100,> 30,15
GREENWOOD NURSING & REHABILITATION CENTER,MIDDLESEX,36,11-30,5
GUARDIAN CENTER (THE),PLYMOUTH,123,> 30,16
HALCYON HOUSE,ESSEX,20,1-10,0
HALE HOUSE,SUFFOLK,60,0,0
HANCOCK PARK REHABILITATION AND NURSING CENTER,NORFOLK,142,> 30,21
HANNAH B G SHAW HOME FOR THE AGED,PLYMOUTH,107,0,0
HANNAH DUSTON HEALTHCARE CENTER,ESSEX,128,> 30,21
HARBOR HOUSE NURSING & REHABILITATION CENTER,PLYMOUTH,142,> 30,28
HATHAWAY MANOR EXTENDED CARE,BRISTOL,142,> 30,27
HATHORNE HILL,ESSEX,120,> 30,7
HAVENWOOD REST HOME,BRISTOL,41,0,0
HEATHWOOD HEALTHCARE,MIDDLESEX,73,> 30,15
HELLENIC NURSING & REHABILITATION CENTER,NORFOLK,154,> 30,27
HERITAGE HALL EAST,HAMPDEN,123,> 30,15
HERITAGE HALL NORTH,HAMPDEN,124,> 30,6
HERITAGE HALL SOUTH,HAMPDEN,122,> 30,5
HERITAGE HALL WEST,HAMPDEN,164,> 30,23
HERMITAGE HEALTHCARE (THE),WORCESTER,101,> 30,12
HIGHLANDS THE,WORCESTER,168,> 30,31
HIGHVIEW OF NORTHAMPTON,HAMPSHIRE,120,> 30,14
HILLCREST COMMONS NURSING & REHABILITATION CENTER,BERKSHIRE,265,0,0
HILLSIDE REST HOME,ESSEX,28,0,0
HOLDEN REHABILITATION & NURSING CENTER,WORCESTER,123,11-30,1-4
HOLY TRINITY EASTERN ORTHODOX N & R CENTER,WORCESTER,113,> 30,12
HOLYOKE HEALTHCARE CENTER,HAMPDEN,102,1-10,0
HOMESTEAD HALL,WORCESTER,32,0,0
HUNT NURSING & REHAB CENTER,ESSEX,120,> 30,22
IVY HILL COURT,ESSEX,30,0,0
JEANNE JUGAN RESIDENCE,MIDDLESEX,84,> 30,9
JEFFREY & SUSAN BRUDNICK CENTER FOR LIVING,ESSEX,180,> 30,46
JESMOND NURSING HOME,ESSEX,57,11-30,5
JEWISH HEALTHCARE CENTER,WORCESTER,141,> 30,23
JML CARE CENTER  INC,BARNSTABLE,132,11-30,5
JOHN ADAMS HEALTHCARE CENTER,NORFOLK,71,1-10,0
JOHN SCOTT HOUSE NURSING & REHABILITATION CENTER,NORFOLK,138,> 30,26
JULIAN J LEVITT FAMILY NURSING HOME,HAMPDEN,200,> 30,66
KATZMAN FAMILY CENTER FOR LIVING,SUFFOLK,120,> 30,55
KEYSTONE CENTER,WORCESTER,106,11-30,7
KIMBALL FARMS NURSING CARE CENTER,BERKSHIRE,74,1-10,0
KNOLLWOOD NURSING CENTER,WORCESTER,82,1-10,1-4
LABELLE'S REST HOME,FRANKLIN,24,0,0
LAFAYETTE REHABILITATION & SKILLED NURSING FACILIT,ESSEX,65,> 30,14
LAKEVIEW HOUSE SKLD NRSG  AND RESIDENTIAL CARE FAC,ESSEX,91,0,0
LANESSA EXTENDED CARE,WORCESTER,96,1-10,0
LASELL HOUSE,MIDDLESEX,44,0,0
LATHROP HOME,HAMPSHIRE,39,0,0
LAUREL RIDGE REHAB AND SKILLED CARE CENTER,SUFFOLK,120,> 30,18
LEDGEWOOD REHABILITATION & SKILLED NURSING CENTER,ESSEX,123,> 30,11
LEE HEALTHCARE,BERKSHIRE,88,0,0
LEONARD FLORENCE CENTER FOR LIVING,SUFFOLK,100,11-30,1-4
LIBERTY COMMONS,BARNSTABLE,132,1-10,0
LIFE CARE CENTER OF ACTON,MIDDLESEX,155,> 30,17
LIFE CARE CENTER OF ATTLEBORO,BRISTOL,123,> 30,15
LIFE CARE CENTER OF AUBURN,WORCESTER,154,> 30,34
LIFE CARE CENTER OF LEOMINSTER,WORCESTER,133,> 30,26
LIFE CARE CENTER OF MERRIMACK VALLEY,MIDDLESEX,124,> 30,28
LIFE CARE CENTER OF NASHOBA VALLEY,MIDDLESEX,120,> 30,27
LIFE CARE CENTER OF PLYMOUTH,PLYMOUTH,150,> 30,24
LIFE CARE CENTER OF RAYNHAM,BRISTOL,154,> 30,37
LIFE CARE CENTER OF STONEHAM,MIDDLESEX,94,> 30,16
LIFE CARE CENTER OF THE NORTH SHORE,ESSEX,123,> 30,24
LIFE CARE CENTER OF THE SOUTH SHORE,PLYMOUTH,117,> 30,16
LIFE CARE CENTER OF WEST BRIDGEWATER,PLYMOUTH,150,> 30,7
LIFE CARE CENTER OF WILBRAHAM,HAMPDEN,123,> 30,15
LIGHTHOUSE NURSING CARE CENTER,SUFFOLK,123,> 30,24
LINCOLN HILL MANOR,WORCESTER,30,0,0
LINDA MANOR EXTENDED CARE FACILITY,HAMPSHIRE,123,1-10,0
LINDEN PONDS,PLYMOUTH,132,> 30,6
LONGMEADOW OF TAUNTON,BRISTOL,100,> 30,9
LOOMIS LAKESIDE AT REEDS LANDING,HAMPDEN,42,> 30,5
LUTHERAN REHABILITATION & SKILLED CARE CENTER,WORCESTER,150,> 30,22
LYDIA TAFT HOUSE,WORCESTER,53,1-10,0
LYNN HOME FOR ELDERLY PERSONS,ESSEX,37,0,0
LYNN SHORE REST HOME,ESSEX,34,0,0
M I NURSING & RESTORATIVE CENTER,ESSEX,250,> 30,55
MADONNA MANOR NURSING HOME,BRISTOL,129,> 30,23
MAPLES REHABILITATION & NURSING CENTER,NORFOLK,144,> 30,10
MAPLEWOOD REHAB  AND NURSING,ESSEX,120,11-30,0
MARIAN MANOR,SUFFOLK,355,> 30,23
MARIAN MANOR OF TAUNTON,BRISTOL,116,11-30,5
MARILLAC RESIDENCE,NORFOLK,76,0,0
MARISTHILL NURSING & REHABILITATION CENTER,MIDDLESEX,123,> 30,18
MARLBOROUGH HILLS REHABILITATION & HLTH CARE CTR,MIDDLESEX,196,> 30,27
MARY ANN MORSE NURSING & REHABILITATION,MIDDLESEX,124,> 30,29
MARY'S MEADOW AT PROVIDENCE PLACE,HAMPDEN,40,1-10,0
MASCONOMET HEALTHCARE CENTER,ESSEX,123,> 30,29
MATTAPAN HEALTH & REHABILITATION CENTER,SUFFOLK,85,> 30,8
MAYFLOWER PLACE NURSING & REHABILITATION CENTER,BARNSTABLE,72,1-10,1-4
MEADOW GREEN NURSING AND REHABILITATION CENTER,MIDDLESEX,123,> 30,22
MEADOWS OF CENTRAL MASSACHUSETTS (THE),WORCESTER,135,> 30,12
MEADOWS THE,ESSEX,60,11-30,5
MEDFORD REHABILITATION AND NURSING CENTER,MIDDLESEX,142,> 30,14
MEDWAY COUNTRY MANOR SKILLED NURSING & REHABILITAT,NORFOLK,123,> 30,12
MELROSE HEALTHCARE,MIDDLESEX,106,> 30,12
MERRIMACK VALLEY HEALTH CENTER,ESSEX,203,> 30,20
MILFORD CENTER,WORCESTER,135,> 30,11
MILL POND REST HOME,MIDDLESEX,27,0,0
MONT MARIE REHABILITATION & HEALTHCARE CENTER,HAMPDEN,84,> 30,6
MOUNT CARMEL CARE CENTER,BERKSHIRE,69,1-10,0
MOUNT SAINT VINCENT CARE CENTER,HAMPDEN,125,> 30,13
MT GREYLOCK EXTENDED CARE FACILITY,BERKSHIRE,100,1-10,0
MT. IDA REST HOME INC.,MIDDLESEX,18,1-10,0
MT. PLEASANT HOME,SUFFOLK,60,1-10,0
NEMASKET HEALTHCARE CENTER,PLYMOUTH,102,> 30,10
NEVILLE CENTER AT FRESH POND FOR NURSING & REHAB,MIDDLESEX,112,> 30,31
NEVINS NURSING & REHABILITATION CENTER,ESSEX,153,> 30,14
NEW BEDFORD JEWISH CONVALESCENT HOME INC,BRISTOL,80,1-10,0
NEW ENGLAND HOMES FOR THE DEAF INC,ESSEX,81,> 30,5
NEW ENGLAND PEDIATRIC CARE,MIDDLESEX,80,1-10,0
NEW ENGLAND SINAI HOSPITAL TRANSITIONAL CARE UNIT,NORFOLK,42,11-30,0
NEWBRIDGE ON THE CHARLES SKILLED NURSING FACILITY,NORFOLK,48,> 30,1-4
NEWBURYPORT SOCIETY - OF AGED MEN,ESSEX,9,0,0
NEWFIELD HOUSE CONVALESCENT HOME,PLYMOUTH,100,11-30,7
NEWTON WELLESLEY CENTER FOR ALZHEIMER'S CARE,NORFOLK,110,> 30,18
NORTH ADAMS COMMONS NURSING & REHABILITATION CENTE,FRANKLIN,119,0,0
NORTH END REHABILITATION AND HEALTHCARE CENTER,SUFFOLK,100,1-10,1-4
NORTHWOOD REHABILITATION & HEALTHCARE CENTER,MIDDLESEX,123,> 30,36
NORWOOD HEALTHCARE,NORFOLK,170,> 30,31
NOTRE DAME LONG TERM CARE CENTER,WORCESTER,123,> 30,32
OAK KNOLL HEALTHCARE CENTER,MIDDLESEX,123,> 30,19
OAKDALE REHABILITATION & SKILLED NURSING CENTER,WORCESTER,92,1-10,0
OAKHILL HEALTHCARE,PLYMOUTH,123,> 30,7
OAKS THE,BRISTOL,122,1-10,0
OASIS AT DODGE PARK,WORCESTER,82,0,0
ODD FELLOWS HOME OF MASSACHUSETTS,WORCESTER,100,> 30,16
OOSTERMAN'S MELROSE REST HOME INC,MIDDLESEX,25,0,0
OUR ISLAND HOME,NANTUCKET,45,0,0
OUR LADYS HAVEN OF FAIRHAVEN INC,BRISTOL,117,> 30,26
OVERLOOK MASONIC HEALTH CENTER,WORCESTER,181,1-10,0
OXFORD REHABILITATION & HEALTH CARE CENTER THE,ESSEX,120,> 30,8
PALM SKILLED  NRSING CR & CTR FOR REHAB EXCELLENCE,MIDDLESEX,124,> 30,31
PALMER HEALTHCARE CENTER,HAMPDEN,61,0,0
PARK AVENUE HEALTH CENTER,MIDDLESEX,89,> 30,16
PARK PLACE REHABILITATION & SKILLED CARE CENTER,SUFFOLK,53,11-30,7
PARKWAY HEALTH AND REHABILITATION CENTER,SUFFOLK,141,> 30,13
PARSONS HILL REHABILITATION & HEALTH CARE CENTER,WORCESTER,162,> 30,7
PAVILION  THE,BARNSTABLE,82,1-10,0
PENACOOK PLACE INC,ESSEX,160,> 30,15
PENNY LANE,WORCESTER,26,0,0
PETTEE HOUSE,MIDDLESEX,24,0,0
PHILLIPS MANOR NURSING HOME,ESSEX,29,11-30,8
PILGRIM REHABILITATION & SKILLED NURSING CENTER,ESSEX,152,> 30,15
PINE KNOLL NURSING CENTER,MIDDLESEX,81,> 30,18
PLEASANT ACRES REST HOME LLC,WORCESTER,14,0,0
PLEASANT BAY OF BREWSTER REHAB CENTER,BARNSTABLE,135,> 30,19
PLEASANT STREET REST HOME INC.,BRISTOL,60,11-30,1-4
PLYMOUTH HARBORSIDE HEALTHCARE,PLYMOUTH,101,> 30,17
PLYMOUTH REHABILITATION & HEALTH CARE CENTER,PLYMOUTH,186,1-10,0
POET'S SEAT HEALTH CARE CENTER,FRANKLIN,63,> 30,15
POND HOME,NORFOLK,43,1-10,0
POPE NURSING HOME,NORFOLK,49,> 30,20
PORT HEALTHCARE CENTER,ESSEX,123,1-10,0
PRESCOTT HOUSE,ESSEX,126,> 30,1-4
PRESENTATION REHAB AND SKILLED CARE CENTER,SUFFOLK,122,> 30,24
QUABBIN VALLEY HEALTHCARE,WORCESTER,142,1-10,0
QUABOAG REHABILITATION & SKILLED CARE FACILITY,WORCESTER,166,11-30,0
QUEEN ANNE NURSING HOME INC,PLYMOUTH,106,> 30,19
QUINCY HEALTH AND REHABILITATION CENTER LLC,NORFOLK,126,> 30,42
RECUPERATIVE SERVICES UNIT-HEBREW REHAB CENTER,SUFFOLK,50,> 30,0
REHABILITATION & NURSING CENTER AT EVERETT (THE),MIDDLESEX,183,> 30,17
RENAISSANCE MANOR ON CABOT,HAMPDEN,61,1-10,0
RESERVOIR CENTER FOR HEALTH & REHABILITATION THE,MIDDLESEX,144,> 30,16
REVOLUTION CHARLWELL,NORFOLK,124,> 30,22
REVOLUTION KIMWELL,BRISTOL,124,> 30,12
RIVER TERRACE REHABILITATION AND HEALTHCARE CTR,WORCESTER,82,> 30,22
RIVER VALLEY REST HOME,HAMPSHIRE,25,0,0
RIVERBEND OF SOUTH NATICK,MIDDLESEX,55,1-10,1-4
RIVERCREST LONG TERM CARE,MIDDLESEX,42,11-30,12
ROCKRIDGE AT LAUREL PARK,HAMPSHIRE,61,0,0
ROSEWOOD MANOR REST HOME,BARNSTABLE,33,1-10,0
ROYAL AT WAYLAND REHABILITATION & NURSING CENTER,MIDDLESEX,40,> 30,11
ROYAL BRAINTREE NURSING AND REHABILITATION CENTER,NORFOLK,204,> 30,33
ROYAL CAPE COD NURSING & REHABILITATION CENTER,BARNSTABLE,99,> 30,18
ROYAL MEADOW VIEW CENTER,MIDDLESEX,113,> 30,13
ROYAL MEGANSETT NURSING & REHABILITATION,BARNSTABLE,90,1-10,0
ROYAL NORWELL NURSING & REHABILITATION CENTER LLC,PLYMOUTH,86,> 30,17
ROYAL NURSING CENTER LLC,BARNSTABLE,121,> 30,9
ROYAL OF COTUIT,BARNSTABLE,120,1-10,0
ROYAL OF FAIRHAVEN NURSING CENTER,BRISTOL,107,1-10,0
ROYAL WOOD MILL CENTER,ESSEX,94,> 30,18
SACHEM CENTER FOR HEALTH & REHABILITATION,PLYMOUTH,111,> 30,20
SACRED HEART NURSING HOME,BRISTOL,217,> 30,21
SALEM REHAB CENTER,ESSEX,123,> 30,23
SANCTA MARIA NURSING FACILITY,MIDDLESEX,141,> 30,19
SARAH BRAYTON NURSING CARE CTR,BRISTOL,183,> 30,22
SAUGUS REHAB AND NURSING,ESSEX,80,> 30,6
SAVOY NURSING & REHAB CTR,BRISTOL,39,0,0
SEA VIEW CONVALESCENT AND NURSING HOME,ESSEX,62,11-30,1-4
SEACOAST NURSING & REHABILITATION CENTER INC,ESSEX,142,1-10,0
SERENITY HILL NURSING CENTER,NORFOLK,44,11-30,1-4
SERENITY REST HOME LLC,PLYMOUTH,24,0,0
SETH MANN 2ND HME FOR AGED/INFI WOM,NORFOLK,5,0,0
SEVEN HILLS PEDIATRIC CENTER,MIDDLESEX,83,1-10,0
SHERRILL HOUSE,SUFFOLK,196,> 30,32
SHREWSBURY NURSING & REHABILITATION CENTER,WORCESTER,99,> 30,20
SIPPICAN HEALTHCARE CENTER,PLYMOUTH,123,1-10,0
SKILLED NURSING FACILITY AT NORTH HILL (THE),NORFOLK,72,> 30,10
SOMERSET RIDGE CENTER,BRISTOL,135,> 30,14
SOPHIA SNOW HOUSE,SUFFOLK,36,0,0
SOUTH COVE MANOR NURSING & REHABILITATION CENTER,NORFOLK,141,1-10,0
SOUTH DENNIS HEALTHCARE,BARNSTABLE,128,> 30,11
SOUTHBRIDGE REHABILITATION & HEALTH CARE CENTER,WORCESTER,144,> 30,10
SOUTHEAST HEALTH CARE CENTER,BRISTOL,171,> 30,22
SOUTHPOINTE REHAB CENTER,BRISTOL,152,> 30,19
SOUTHSHORE HEALTH CARE CENTER,PLYMOUTH,96,> 30,15
SOUTHWOOD AT NORWELL NURSING CTR,PLYMOUTH,142,11-30,23
SPAULDING NURSING & THERAPY CENTER - BRIGHTON,SUFFOLK,123,11-30,1-4
SPRINGSIDE REHABILITATION AND SKILLED CARE CENTER,BERKSHIRE,115,0,0
ST CAMILLUS HEALTH CENTER,WORCESTER,123,> 30,19
ST FRANCIS REHABILITATION & NURSING CENTER,WORCESTER,137,> 30,21
ST JOSEPH MANOR HEALTH CARE INC,PLYMOUTH,118,> 30,32
ST JOSEPH REHAB & NURSING CARE CENTER,SUFFOLK,123,> 30,27
ST LUKE'S HOME,HAMPDEN,89,0,0
ST MARY HEALTH CARE CENTER,WORCESTER,172,> 30,38
ST PATRICK'S MANOR,MIDDLESEX,333,> 30,39
STERLING VILLAGE,WORCESTER,143,> 30,12
STONE REHABILITATION AND SENIOR LIVING,MIDDLESEX,82,> 30,15
STONEHEDGE HEALTH CARE CENTER,SUFFOLK,79,> 30,10
SUDBURY PINES EXTENDED CARE,MIDDLESEX,92,> 30,13
